Larvae age,Larvae batch,Tray Number,Cue,settled_10hrs,unattached_10hrs,settled_20hrs,unattached_20hrs,settled_30hrs,unattached_30hrs ,Crab
35,1,1a,Conspecific shell,1,5,1,5,3,2,G1
35,1,1b,Conspecific shell + conspecific cue,1,5,2,4,2,4,G1
35,1,1c,Sterilized shell,0,6,0,6,0,6,G1
35,1,1d,Sterilized shell + conspecific cue,1,5,1,5,1,5,G1
35,1,1e,Sterilized shell + predator cue,0,6,0,6,1,5,G1
35,1,1f,Sterilized shell + conspecific cue + predator cue,0,6,0,6,0,6,G1
35,1,2a,Conspecific shell + conspecific cue,2,4,2,4,3,3,G1
35,1,2b,Sterilized shell + conspecific cue,0,6,0,6,1,5,G1
35,1,2c,Sterilized shell + conspecific cue + predator cue,0,6,2,4,1,5,G1
35,1,2d,Conspecific shell,1,5,1,5,2,4,G1
35,1,2e,Sterilized shell,1,5,0,6,2,4,G1
35,1,2f,Sterilized shell + predator cue,1,5,0,6,0,6,G1
35,1,3a,Sterilized shell + predator cue,0,6,0,6,0,6,G1
35,1,3b,Conspecific shell,0,6,1,5,1,5,G1
35,1,3c,Conspecific shell + conspecific cue,2,4,6,0,6,0,G1
35,1,3d,Sterilized shell,1,5,2,4,2,4,G1
35,1,3e,Sterilized shell + conspecific cue + predator cue,0,6,2,4,2,4,G1
35,1,3f,Sterilized shell + conspecific cue,0,6,1,5,2,4,G1
35,1,4a,Conspecific shell,1,5,1,5,2,4,G1
35,1,4b,Sterilized shell,0,6,1,5,1,5,G1
35,1,4c,Sterilized shell + conspecific cue,0,5,0,5,0,5,G1
35,1,4d,Conspecific shell + conspecific cue,2,4,3,3,4,2,G1
35,1,4e,Sterilized shell + conspecific cue + predator cue,0,6,0,6,0,6,G1
35,1,4f,Sterilized shell + predator cue,0,6,0,6,0,6,G1
35,1,5a,Conspecific shell + conspecific cue,2,4,5,1,5,1,G1
35,1,5b,Sterilized shell + predator cue,0,6,0,6,0,6,G1
35,1,5c,Sterilized shell + conspecific cue + predator cue,0,6,0,6,0,6,G1
35,1,5d,Conspecific shell,1,5,2,4,5,1,G1
35,1,5e,Sterilized shell + conspecific cue,0,6,1,5,2,4,G1
35,1,5f,Sterilized shell,1,5,3,3,3,3,G1
35,1,6a,Sterilized shell + predator cue,0,6,0,6,0,6,G1
35,1,6b,Sterilized shell + conspecific cue,1,5,1,5,2,4,G1
35,1,6d,Conspecific shell + conspecific cue,3,2,4,2,4,2,G1
35,1,6e,Conspecific shell,3,3,3,3,4,2,G1
35,1,6f,Sterilized shell,0,6,1,5,1,5,G1
35,1,7a,Conspecific shell,0,4,2,2,2,2,G1
35,1,7b,Conspecific shell + conspecific cue,2,4,2,4,2,4,G1
35,1,7c,Sterilized shell,0,6,0,6,0,6,G1
35,1,7d,Sterilized shell + conspecific cue,0,6,0,6,0,6,G1
35,1,7e,Sterilized shell + predator cue,0,6,0,6,0,6,G1
35,1,7f,Sterilized shell + conspecific cue + predator cue,0,7,0,7,0,7,G1
35,1,8a,Conspecific shell + conspecific cue,2,4,3,3,3,3,G1
35,1,8b,Sterilized shell + conspecific cue,0,6,4,2,4,2,G1
35,1,8c,Sterilized shell + conspecific cue + predator cue,0,6,1,5,1,5,G1
35,1,8d,Conspecific shell,3,3,2,4,5,1,G1
35,1,8e,Sterilized shell,1,5,0,6,1,5,G1
35,1,8f,Sterilized shell + predator cue,0,6,0,6,0,6,G1
35,1,9a,Sterilized shell + predator cue,0,7,0,7,0,7,G1
