Date started,Larvae batch ,Age,Tray ID,Cue,setteled_10hr,unattached_10hr,setteled_20hr,uattached_20hr,setteled_30hr,uattached_30hr
25/4 ,1,33,1a,conspecific shell ,0,6,2,4,2,4
25/4,1,33,1b,conspecific shell_conspecific cue,4,2,5,1,6,0
25/4,1,33,1c,conspecific shell_predator cue,4,2,4,2,4,2
25/4,1,33,1d,steralized shell ,0,6,1,5,1,5
25/4,1,33,1e,steralized shell_conspecific cue ,1,4,1,4,1,4
25/4,1,33,1f,steralized shell_conspecific cue_predator cue,0,6,1,5,3,3
25/4,1,33,2a,Steralized shell_predator cue,0,7,0,7,0,7
25/4,1,33,2b,conspecific shell_predator cue,4,2,4,2,4,2
25/4,1,33,2c,conspecific shell_conspecific cue,4,2,4,2,4,2
25/4,1,33,2d,steralized shell,0,6,0,6,0,6
25/4,1,33,2e,steralized shell_conspecific cue_predator cue,1,5,3,3,1,5
25/4,1,33,2f,Steralized shell_predator cue,0,6,0,6,0,6
25/4,1,33,3a,steralized shell_conspecific cue,0,6,3,3,3,3
25/4,1,33,3b,conspecific shell,0,6,1,5,1,5
25/4,1,33,3c,Steralized shell_predator cue,0,6,0,6,0,6
25/4,1,33,3d,steralized shell_conspecific cue_predator cue,0,6,0,6,0,6
25/4,1,33,3e,steralized shell_conspecific cue,1,5,1,5,2,4
25/4,1,33,3f,conspecific shell,2,4,6,0,6,0
25/4,1,33,4a,conspecific shell_predator cue,4,2,4,2,4,2
25/4,1,33,4b,conspecific shell_conspecific cue,4,2,5,1,6,0
25/4,1,33,4c,steralized shell,1,5,1,5,2,4
25/4,1,33,4d,steralized shell_conspecific cue,3,1,3,1,3,1
25/4,1,33,4e,conspecific shell,3,3,4,2,5,1
25/4,1,33,4f,conspecific shell_predator cue,3,2,4,1,4,1
25/4,1,33,5a,steralized shell,0,6,0,6,0,6
25/4,1,33,5c,Steralized shell_predator cue,0,6,0,6,0,6
25/4,1,33,5d,steralized shell_conspecific cue_predator cue,2,4,2,4,2,4
25/4,1,33,5e,conspecific shell_conspecific cue,6,0,6,0,6,0
25/4,1,33,5f,conspecific shell,1,5,2,4,5,1
25/4,1,33,6a,steralized shell,0,5,0,5,0,5
25/4,1,33,6b,Steralized shell_predator cue,0,6,0,6,0,6
25/4,1,33,6c,steralized shell_conspecific cue_predator cue,0,6,0,6,0,6
25/4,1,33,6d,conspecific shell_predator cue,4,2,5,1,6,0
25/4,1,33,6e,steralized shell_conspecific cue,1,5,1,5,1,5
25/4,1,33,6f,steralized shell_conspecific cue_predator cue,0,6,0,6,0,6
25/4,1,33,7a,conspecific shell_predator cue,2,3,2,3,4,1
25/4,1,33,7b,conspecific shell,3,3,4,2,6,0
25/4,1,33,7c,Steralized shell_predator cue,0,6,0,6,0,6
25/4,1,33,7d,steralized shell_conspecific cue,0,5,0,5,0,5
25/4,1,33,7f,conspecific shell_conspecific cue,3,3,6,0,6,0
25/4,1,33,8a,steralized shell_conspecific cue,1,5,2,4,4,2
