Date_started,Fertilisation_date,Larvae_batch ,Tray_Number_Well,Cue,Settled_10h,Unsettled_10h,Settled_20h,Unsettled_20h,Settled_30h,Unsettled_30h
22/04/2022,23/03/2022,1,1a,Control_Conspecific,0,6,0,6,0,6
22/04/2022,23/03/2022,1,1b,Biofilm_Conspecific,0,6,0,6,1,5
22/04/2022,23/03/2022,1,1c,Conspecific_Predator,0,6,0,6,1,5
22/04/2022,23/03/2022,1,1d,Predator,0,6,0,6,0,6
22/04/2022,23/03/2022,1,1e,Biofilm_Conspecific_Predator,0,6,0,6,0,6
22/04/2022,23/03/2022,1,1f,Biofilm,0,5,1,5,1,5
22/04/2022,23/03/2022,1,2a,Biofilm_Predator,0,6,1,5,1,5
22/04/2022,23/03/2022,1,2b,Biofilm_Conspecific,1,5,0,6,0,5
22/04/2022,23/03/2022,1,2c,Predator,0,6,0,6,0,6
22/04/2022,23/03/2022,1,2d,Control_Conspecific,0,6,0,6,0,6
22/04/2022,23/03/2022,1,2e,Biofilm,1,5,2,4,1,5
22/04/2022,23/03/2022,1,2f,Biofilm_Predator,0,6,0,6,0,6
22/04/2022,23/03/2022,1,3a,Biofilm_Conspecific_Predator,0,6,0,6,0,6
22/04/2022,23/03/2022,1,3b,Conspecific_Predator,0,6,0,6,0,6
22/04/2022,23/03/2022,1,3c,Conspecific_Predator,0,6,0,6,0,6
22/04/2022,23/03/2022,1,3d,Biofilm_Predator,0,6,0,6,0,6
22/04/2022,23/03/2022,1,3e,Predator,0,6,0,6,0,6
22/04/2022,23/03/2022,1,3f,Biofilm_Conspecific,0,6,0,6,0,6
22/04/2022,23/03/2022,1,4a,Biofilm_Conspecific_Predator,0,6,0,6,0,6
22/04/2022,23/03/2022,1,4b,Biofilm,1,5,1,5,2,4
22/04/2022,23/03/2022,1,4c,Control_Conspecific,0,6,0,6,0,6
22/04/2022,23/03/2022,1,4d,Control_Conspecific,0,6,0,6,0,6
22/04/2022,23/03/2022,1,4e,Biofilm_Conspecific,1,5,1,5,2,4
22/04/2022,23/03/2022,1,4f,Biofilm_Predator,0,6,1,5,1,5
22/04/2022,23/03/2022,1,5a,Predator,0,6,0,6,0,6
22/04/2022,23/03/2022,1,5b,Biofilm_Conspecific_Predator,3,3,3,3,3,3
22/04/2022,23/03/2022,1,5c,Biofilm,0,6,0,6,0,6
22/04/2022,23/03/2022,1,5d,Conspecific_Predator,0,6,0,6,0,6
22/04/2022,23/03/2022,1,5e,Biofilm_Conspecific,0,6,0,6,0,6
22/04/2022,23/03/2022,1,5f,Biofilm_Predator,1,5,4,1,4,1
22/04/2022,23/03/2022,1,6a,Control_Conspecific,0,6,0,6,0,6
