Date started,Larvae age,Larvae batch ,Tray Number/Well,Cue,Larvae Setteled,Larvae Unsetteled
8/28/2022,23,2,23a,predator cue_conspecific shell,2,2
8/28/2022,23,2,23b,predator cue_sterlized shell,1,5
8/28/2022,23,2,23c,conspecific cue_predator cue_conspecific shell,6,1
8/28/2022,23,2,23d,conspecific cue_predator cue_sterilized shell,2,4
8/28/2022,23,2,23e,biofilm_conspecific shell,2,1
8/28/2022,23,2,23f,biofilm_sterilized shell,0,4
8/28/2022,23,2,24a,biofilm_conspecific cue_conspecific shell,4,0
8/28/2022,23,2,24c,biofilm_predator cue_conspecific shell,2,2
8/28/2022,23,2,24d,biofilm_predator cue_sterlized shell,1,3
8/28/2022,23,2,24e,biofilm_conspecific cue_predator cue_conspecific shell,3,1
8/28/2022,23,2,24f,biofilm_conspecific cue_predator cue_sterilized shell,0,4
8/28/2022,23,2,25a,conspecific shell_FSW,0,4
8/28/2022,23,2,25b,sterilized shell_FSW,1,3
8/28/2022,23,2,25d,conspecific cue_sterlized shell,0,4
8/28/2022,23,2,25e,predator cue_conspecific shell,2,2
8/28/2022,23,2,25f,predator cue_sterlized shell,0,4
8/28/2022,23,2,26a,conspecific cue_predator cue_conspecific shell,2,0
8/28/2022,23,2,26b,conspecific cue_predator cue_sterilized shell,2,2
8/28/2022,23,2,26c,biofilm_conspecific shell,2,2
8/28/2022,23,2,26d,biofilm_sterilized shell,1,3
8/28/2022,23,2,26e,biofilm_conspecific cue_conspecific shell,4,0
8/28/2022,23,2,26f,biofilm_conspecific cue_sterlized shell,1,2
8/28/2022,23,2,27a,biofilm_predator cue_conspecific shell,4,0
8/28/2022,23,2,27b,biofilm_predator cue_sterlized shell,2,2
8/28/2022,23,2,27c,biofilm_conspecific cue_predator cue_conspecific shell,4,0
8/28/2022,23,2,27d,biofilm_conspecific cue_predator cue_sterilized shell,2,6
8/28/2022,23,2,27e,conspecific shell_FSW,1,3
8/28/2022,23,2,27f,sterilized shell_FSW,0,4
8/28/2022,23,2,28a,conspecific cue_conspecific shell,4,0
8/28/2022,23,2,28b,conspecific cue_sterlized shell,3,1
8/28/2022,23,2,28c,predator cue_conspecific shell,2,2
8/28/2022,23,2,28d,predator cue_sterlized shell,0,4
8/28/2022,23,2,28e,conspecific cue_predator cue_conspecific shell,4,0
8/28/2022,23,2,28f,conspecific cue_predator cue_sterilized shell,0,4
8/28/2022,23,2,39a,predator cue_conspecific shell,0,4
8/28/2022,23,2,39b,predator cue_sterlized shell,2,2
8/28/2022,23,2,39c,conspecific cue_predator cue_conspecific shell,4,0
8/28/2022,23,2,39d,conspecific cue_predator cue_sterilized shell,3,1
8/28/2022,23,2,39e,biofilm_conspecific shell,3,1
8/28/2022,23,2,39f,biofilm_sterilized shell,0,4
8/28/2022,23,2,40a,biofilm_conspecific cue_conspecific shell,3,1
8/28/2022,23,2,40b,biofilm_conspecific cue_sterlized shell,3,1
8/28/2022,23,2,40c,biofilm_predator cue_conspecific shell,2,2
8/28/2022,23,2,40d,biofilm_predator cue_sterlized shell,2,2
8/28/2022,23,2,40e,biofilm_conspecific cue_predator cue_conspecific shell,4,0
8/28/2022,23,2,40f,biofilm_conspecific cue_predator cue_sterilized shell,1,3
8/28/2022,23,2,41a,conspecific shell_FSW,2,2
8/28/2022,23,2,41b,sterilized shell_FSW,1,3
8/28/2022,23,2,41c,conspecific cue_conspecific shell,3,0
8/28/2022,23,2,41d,conspecific cue_sterlized shell,2,2
8/28/2022,23,2,41f,predator cue_sterlized shell,0,2
8/28/2022,23,2,42a,conspecific cue_predator cue_conspecific shell,3,1
8/28/2022,23,2,42b,conspecific cue_predator cue_sterilized shell,1,3
8/28/2022,23,2,42d,biofilm_sterilized shell,1,3
8/28/2022,23,2,42e,biofilm_conspecific cue_conspecific shell,4,0
8/28/2022,23,2,42f,biofilm_conspecific cue_sterlized shell,2,2
8/28/2022,23,2,43a,biofilm_predator cue_conspecific shell,4,4
8/28/2022,23,2,43b,biofilm_predator cue_sterlized shell,0,3
8/28/2022,23,2,43c,biofilm_conspecific cue_predator cue_conspecific shell,4,0
8/28/2022,23,2,43d,biofilm_conspecific cue_predator cue_sterilized shell,3,1
8/28/2022,23,2,43e,conspecific shell_FSW,1,3
8/28/2022,23,2,43f,sterilized shell_FSW,1,3
8/28/2022,23,2,44a,conspecific cue_conspecific shell,2,1
8/28/2022,23,2,44b,conspecific cue_sterlized shell,1,3
8/28/2022,23,2,44c,predator cue_conspecific shell,0,3
8/28/2022,23,2,44d,predator cue_sterlized shell,0,4
8/28/2022,23,2,44e,conspecific cue_predator cue_conspecific shell,4,0
8/28/2022,23,2,44f,conspecific cue_predator cue_sterilized shell,1,3
