Start_date,Crab,Fertilization_date,age,Batch,Tray Number,Well,Cue,settled_10hrs,unattached_10hrs,settled_20hrs,unattached_20hrs,settled_30hrs,unattached_30hrs
3/7/2022,G2,2/7/2022,28,2,11,a,Conspecific shell,4,2,6,0,6,0
3/7/2022,G2,2/7/2022,28,2,11,b,Conspecific shell + conspecific cue,6,0,6,0,6,0
3/7/2022,G2,2/7/2022,28,2,11,c,Sterilized shell,0,6,0,6,0,6
3/7/2022,G2,2/7/2022,28,2,11,d,Sterilized shell + conspecific cue,5,2,6,1,6,1
3/7/2022,G2,2/7/2022,28,2,11,e,Sterilized shell + predator cue,0,6,2,4,2,4
3/7/2022,G2,2/7/2022,28,2,11,f,Sterilized shell + conspecific cue + predator cue,2,4,3,3,3,3
3/7/2022,G2,2/7/2022,28,2,12,a,Conspecific shell + conspecific cue,5,1,5,1,5,1
3/7/2022,G2,2/7/2022,28,2,12,b,Sterilized shell + conspecific cue,1,5,1,5,1,5
3/7/2022,G2,2/7/2022,28,2,12,c,Sterilized shell + conspecific cue + predator cue,1,5,2,4,2,4
3/7/2022,G2,2/7/2022,28,2,12,d,Conspecific shell,4,2,6,0,6,0
3/7/2022,G2,2/7/2022,28,2,12,e,Sterilized shell,1,4,2,3,2,3
3/7/2022,G2,2/7/2022,28,2,12,f,Sterilized shell + predator cue,1,5,1,4,0,4
3/7/2022,G2,2/7/2022,28,2,13,a,Sterilized shell + predator cue,0,5,0,5,0,5
3/7/2022,G2,2/7/2022,28,2,13,b,Conspecific shell,4,2,4,2,4,2
3/7/2022,G2,2/7/2022,28,2,13,c,Conspecific shell + conspecific cue,6,0,6,0,6,0
3/7/2022,G2,2/7/2022,28,2,13,d,Sterilized shell,0,6,0,6,0,6
3/7/2022,G2,2/7/2022,28,2,13,e,Sterilized shell + conspecific cue + predator cue,0,7,2,5,2,5
3/7/2022,G2,2/7/2022,28,2,13,f,Sterilized shell + conspecific cue,2,4,2,4,3,2
3/7/2022,G2,2/7/2022,28,2,14,a,Conspecific shell,4,2,5,1,6,0
3/7/2022,G2,2/7/2022,28,2,14,c,Sterilized shell + conspecific cue,3,4,3,4,4,3
3/7/2022,G2,2/7/2022,28,2,14,d,Conspecific shell + conspecific cue,6,0,6,0,6,0
3/7/2022,G2,2/7/2022,28,2,14,e,Sterilized shell + conspecific cue + predator cue,1,5,0,6,2,4
3/7/2022,G2,2/7/2022,28,2,14,f,Sterilized shell + predator cue,0,6,0,6,0,6
3/7/2022,G2,2/7/2022,28,2,15,a,Conspecific shell + conspecific cue,6,0,6,0,6,0
3/7/2022,G2,2/7/2022,28,2,15,b,Sterilized shell + predator cue,3,3,3,3,2,2
3/7/2022,G2,2/7/2022,28,2,15,c,Sterilized shell + conspecific cue + predator cue,3,3,3,3,3,3
3/7/2022,G2,2/7/2022,28,2,15,d,Conspecific shell,5,0,5,0,5,0
